24.0, 40.0, 07 | 22-22
24.0, 40.0, 07 | 22-32
24.0, 39.0, 07 | 22-43
24.0, 38.0, 07 | 22-53
24.0, 38.0, 07 | 23-23
24.0, 39.0, 07 | 23-33
24.0, 41.0, 07 | 23-43
24.0, 41.0, 07 | 23-53
24.0, 40.0, 08 | 00-03
24.0, 41.0, 08 | 00-13
24.0, 41.0, 08 | 00-23
24.0, 42.0, 08 | 00-33
24.0, 42.0, 08 | 00-43
24.0, 42.0, 08 | 00-53
24.0, 41.0, 08 | 01-03
24.0, 41.0, 08 | 01-13
24.0, 41.0, 08 | 01-23
24.0, 41.0, 08 | 01-33
24.0, 41.0, 08 | 01-43
24.0, 40.0, 08 | 02-03
24.0, 39.0, 08 | 02-13
24.0, 39.0, 08 | 02-23
24.0, 39.0, 08 | 02-33
24.0, 37.0, 08 | 02-43
24.0, 37.0, 08 | 02-53
24.0, 37.0, 08 | 03-03
24.0, 37.0, 08 | 03-13
24.0, 37.0, 08 | 03-23
24.0, 37.0, 08 | 03-33
25.0, 36.0, 08 | 03-43
25.0, 35.0, 08 | 03-53
25.0, 35.0, 08 | 04-03
25.0, 35.0, 08 | 04-13
25.0, 36.0, 08 | 04-23
25.0, 36.0, 08 | 04-33
25.0, 34.0, 08 | 04-43
26.0, 34.0, 08 | 05-03
25.0, 35.0, 08 | 05-13
25.0, 34.0, 08 | 05-23
25.0, 35.0, 08 | 05-33
24.0, 36.0, 08 | 05-43
25.0, 35.0, 08 | 05-53
25.0, 35.0, 08 | 06-03
25.0, 34.0, 08 | 06-13
25.0, 35.0, 08 | 06-23
25.0, 35.0, 08 | 06-33
25.0, 36.0, 08 | 06-53
25.0, 36.0, 08 | 07-03
24.0, 37.0, 08 | 07-13
25.0, 36.0, 08 | 07-23
25.0, 35.0, 08 | 07-43
24.0, 36.0, 08 | 07-53
25.0, 35.0, 08 | 08-03
25.0, 36.0, 08 | 08-13
25.0, 36.0, 08 | 08-23
25.0, 36.0, 08 | 08-33
24.0, 36.0, 08 | 08-43
25.0, 35.0, 08 | 08-53
25.0, 35.0, 08 | 09-03
25.0, 35.0, 08 | 09-13
24.0, 36.0, 08 | 09-23
25.0, 35.0, 08 | 09-33
24.0, 35.0, 08 | 09-53
25.0, 35.0, 08 | 10-03
24.0, 35.0, 08 | 10-14
24.0, 35.0, 08 | 10-24
24.0, 35.0, 08 | 10-34
24.0, 34.0, 08 | 10-44
24.0, 35.0, 08 | 10-54
24.0, 35.0, 08 | 11-14
24.0, 35.0, 08 | 11-24
24.0, 34.0, 08 | 11-44
24.0, 34.0, 08 | 11-54
24.0, 34.0, 08 | 12-04
25.0, 34.0, 08 | 12-14
24.0, 34.0, 08 | 12-24
24.0, 35.0, 08 | 12-34
24.0, 34.0, 08 | 12-44
24.0, 35.0, 08 | 12-54
25.0, 34.0, 08 | 13-04
24.0, 35.0, 08 | 13-14
24.0, 35.0, 08 | 13-24
